Word,Fraction of words eliminated,N
tours,0.955246961395997,185
savor,0.955240689972887,184
wages,0.955208034229847,196
carts,0.955190535850898,188
routs,0.955190448777586,191
janes,0.955162457924314,185
super,0.955157851311448,192
fames,0.955071000521104,192
torsi,0.955046820471521,176
stand,0.955008547946207,190
shard,0.95498291361184,202
sweat,0.954975102773436,192
baler,0.954967865207573,196
hotel,0.954928758359988,181
tyros,0.954898091819827,178
warns,0.95488278688234,196
rives,0.954880515274758,174
namer,0.954860860047224,209
niter,0.954794163626889,188
diems,0.954783989677164,175
pitas,0.954780381914649,167
hated,0.9547778791037,192
serum,0.954768303560101,178
outer,0.954759600557263,196
sires,0.954754407983422,213
inter,0.954753343755429,200
stoke,0.954744270619672,188
yearn,0.954727137473473,184
drams,0.954720772169553,171
astro,0.954712482526448,168
cards,0.954685138166672,188
edits,0.954670187498705,193
rasae,0.954649208434557,213
pokes,0.954643689583157,172
pacer,0.95463992860266,174
sloes,0.954624729281569,173
treks,0.954618782611032,181
morts,0.954612667744508,156
sepoy,0.954606936103446,183
miens,0.954601423326154,203
mrads,0.954601161870573,180
farts,0.954597498879124,191
slime,0.95459178489845,159
dirts,0.95458658569081,191
herds,0.954568174325489,196
flies,0.954566115294164,167
dunes,0.954560386499517,193
treys,0.954499068327886,176
cases,0.954472537036986,187
boner,0.954457616814313,176
paten,0.954438465727118,178
trips,0.954408999252329,184
saith,0.954408184606866,197
goats,0.954404973764507,212
shone,0.954372915250382,197
train,0.954361797735837,184
jades,0.954359909675177,192
delta,0.954345573061461,209
homes,0.954322951892055,188
weirs,0.954317549933876,163
maids,0.954317375057344,195
soles,0.954294328466144,196
tunas,0.95426555606787,191
canoe,0.954245750131171,194
roars,0.954245564699728,169
loafs,0.954233290365047,190
ratio,0.954214627855732,191
makes,0.954209088141411,186
raped,0.954201344946525,175
dimes,0.954136449829194,192
stain,0.954135970872629,204
route,0.954104082347149,193
tired,0.9540985222004,208
colas,0.95409608872602,186
react,0.954085588276415,164
loper,0.954074045175415,187
mails,0.954040667224617,165
pours,0.954025658204918,175
aimer,0.95396344755386,185
hides,0.953959431030822,198
holer,0.953959295114093,213
stoma,0.953951515790254,178
toner,0.953926367615191,183
modes,0.953924228597803,213
louse,0.953903570808209,175
crate,0.953890956962734,209
surer,0.95385295478099,178
gaits,0.95383928213527,182
astir,0.953822231956224,207
mines,0.953801916694216,186
dregs,0.953783400118597,174
stave,0.953647222307371,204
yards,0.953642247881298,228
fleas,0.953612133914374,182
hails,0.953587110478527,201
opens,0.953586763066679,199
pesto,0.953585804804737,184
noire,0.953555977359394,193
lento,0.95355589747701,169
besot,0.95354568351572,192
adieu,0.953506969366251,212
tried,0.95350587690348,207
doges,0.95349297678609,193
large,0.953491401771757,176
gules,0.953464290889688,181
snide,0.953448910256051,186
teats,0.953443429214787,191
bakes,0.953432014609711,185
trews,0.953396574888423,196
false,0.953395697260067,206
peaks,0.953391257493096,196
salve,0.95337139826037,186
grate,0.953353318773627,178
tuner,0.953351159102105,183
foals,0.953338844493432,191
colts,0.953328922484207,178
rubes,0.953313875156264,193
coils,0.953306960577213,186
leant,0.953284602997994,185
smile,0.953282645956416,166
saved,0.953271602463889,195
prats,0.953265546073254,199
trial,0.953244542092901,222
pains,0.953237897501516,191
rises,0.953207183709181,189
abler,0.953205429657215,164
early,0.953181759823579,184
pails,0.953140658195374,182
wrens,0.953115843683848,182
minas,0.953092076942248,184
rosin,0.953086597225966,174
caper,0.953085078708019,213
fakes,0.953074804299401,182
lints,0.953074104402921,210
opals,0.953072742575218,181
water,0.953070199168322,183
realm,0.95301463664372,190
loins,0.953011854665941,186
okras,0.952996014982183,206
votes,0.952993742665594,213
sneak,0.952991105031555,192
tread,0.952982140319296,198
seamy,0.952911164576704,188
penis,0.952900916225925,174
close,0.952880012603462,215
hayer,0.952866076081292,180
sprue,0.952835749493845,183
clans,0.952825462041184,173
ferns,0.952817211545716,198
teary,0.952813226451424,188
lured,0.952798437738511,165
clads,0.952795913374749,191
shyer,0.952786081932293,190
sprat,0.952736199209758,174
smart,0.952703541030795,203
gains,0.952698043204888,167
salty,0.952692284963712,194
paled,0.952646348226155,187
snake,0.95264184749385,181
rafts,0.952625318636593,197
douse,0.952598504262827,219
perms,0.952591507196577,202
toves,0.952587691033196,169
clear,0.952585041785913,187
blues,0.952552745153057,182
goals,0.952551951391074,202
laths,0.952535824859926,199
stein,0.952517707911142,180
pared,0.952500513209215,198
spite,0.95245730472411,182
acids,0.952418242696616,181
state,0.952411786254186,202
traps,0.952409806464123,172
servo,0.9523908531204,198
lotus,0.952369198138651,190
craps,0.952365960280238,192
duces,0.952359955486583,182
raced,0.952353274656557,182
brats,0.952340513917725,189
trail,0.95230437547208,221
storm,0.952284621174668,195
dorms,0.952282947593005,198
mules,0.952277825405631,186
trace,0.952277378767626,207
barns,0.952222415223978,180
hosed,0.952216363473993,177
nosed,0.952215948670287,194
plate,0.952214996370341,173
tubes,0.952199136102186,211
anole,0.952165479705865,180
anode,0.952145214521452,174
sinew,0.952111272833273,174
demos,0.952104428238694,181
radio,0.95210412941704,167
gents,0.952096599928117,159
glare,0.952094981902174,185
yikes,0.952085935410585,189
files,0.952062334052954,175
capos,0.952001809728097,215
dynes,0.951993225638354,200
diest,0.951968711302369,186
debts,0.951956894490908,202
cants,0.951939567822482,174
duets,0.951916085551956,199
spake,0.95190637484801,176
recta,0.951896423194953,192
plats,0.951892214393065,184
frats,0.951881649984287,173
lauds,0.951880091056196,190
laden,0.951867884156838,176
motel,0.951844355706289,181
mouse,0.95183834172891,195
drone,0.951834916627318,213
brans,0.951809822639599,188
codas,0.951796877480617,186
limos,0.951773212003283,173
strap,0.951735178578587,208
sperm,0.951734561327987,184
bides,0.951725121024688,184
suave,0.951714099754934,166
tabus,0.951702226970713,179
lives,0.951697469184833,206
greps,0.951684154770253,162
leapt,0.951618737565565,194
meson,0.951596124524734,180
sherd,0.951583359882508,211
dazes,0.951577930578681,205
payer,0.951575388604329,205
petal,0.951564785469057,183
snipe,0.951542031010504,182
corns,0.951525806137583,182
dulse,0.951516414799375,175
pious,0.95151037660157,168
idols,0.951478106558878,185
drays,0.951467202550439,181
afore,0.951415959002545,179
slept,0.951410084617485,168
asset,0.951405455277081,199
surge,0.951405210338434,196
costa,0.951373049298028,183
scant,0.95135919304705,199
tease,0.951356876578346,182
seats,0.951351912609667,179
shoat,0.951320967116956,208
drabs,0.951315672107752,185
taped,0.951298047097942,175
taupe,0.951237672554954,178
togas,0.9512319381694,194
zones,0.951215821527892,194
carne,0.951181838831656,195
lions,0.951152763302645,192
